id,url,name,description,ranking,category
1,https://en.islcollective.com/,iSLCOLLECTIVE,🏅 One of the absolute BEST resources online for Worksheets – PowerPoints and – Video Lessons! 🏆 An all-time great!,⭐⭐⭐⭐⭐,top
2,https://breakingnewsenglish.com,Breaking News English,📰 Amazing site 🤯 with lots and lots of content for Reading – Listening – Lesson Plans and More!,⭐⭐⭐⭐⭐,top
3,https://www.esl-lounge.com/student/,ESL-Lounge,🌶️ Free online platform for learning English including grammar - vocabulary - reading and listening skills.,⭐⭐⭐⭐⭐,top
4,https://www.baamboozle.com/,Baamboozle! - Amazing Teaching Games,🛵 One of the best resources out there to Gamify your lessons and engage your students!,⭐⭐⭐⭐⭐,top
5,https://test-english.com/,Test-English.com,🍰 Amazing! Find tests about everything ESL and practice interactively!,⭐⭐⭐⭐⭐,top
6,https://eflnet.com/,EFLNet,🤩 Excellent for Vocabulary Grammar and More!,⭐⭐⭐⭐⭐,top
7,https://wordwall.net/,Wordwall,🤩 One of my all-time Favorites! Amazing Resource to interactively Learn + Practice and Play!,⭐⭐⭐⭐⭐,top
8,https://www.englishtestsonline.com/,English Tests Online,🚀 Excellent Resource - Lots of Interactive Tests about many different topics for vocabulary and grammar,⭐⭐⭐⭐,top
9,https://7esl.com/,7ESL - Your All-in-One English Language Resource,Great Material,⭐⭐⭐⭐,top
10,https://freeeslmaterials.com/sean_banville_lessons.html,FREE ESL Materials,🤯 LOTS OF CONTENT! Sean Banville's 9 Materials Sites & 5442 Lessons,⭐⭐⭐⭐,top
11,https://www.ego4u.com/en/,English Grammar Online,😎 Excellent site with many interactive exercises and more!,⭐⭐⭐⭐,top
12,https://www.engvid.com/,EngVid – English Video Lessons,📼🎬 Incredibly extensive ESL Video Lessons Collection! With quizzes and activities,⭐⭐⭐⭐,top
13,https://kahoot.com/,Kahoot!,🕹️ Amazing games to practice and learn English and Engage the whole Class,⭐⭐⭐⭐,top
14,https://1filedownload.com/cambridge-english-advanced-cae/,Download CAE Books and Materials,⬇️ Downloadable materials,⭐⭐⭐⭐⭐,CAE
15,https://eflnet.com/vocab/advanced_vocabulary,EFLNet - Advanced Vocabulary Quizzes,🍉 Really Cool Quizzes to Improve Vocabulary,⭐⭐⭐⭐⭐,CAE
16,https://www.cambridgeenglish.org/exams-and-tests/advanced/preparation/,Cambridge English - CAE Preparation,🌔 Official Cambridge Website for CAE Preparation Materials and Guidance,⭐⭐⭐⭐⭐,CAE
17,https://www.englishrevealed.co.uk/cae.php,English Revealed - CAE,🔝 TOP RESOURCE! EXCELLENT!,⭐⭐⭐⭐⭐,CAE
18,https://youtube.com/playlist?list=PL8ZKdw3wlaEUequvzCrtadqXCZAvtowaJ&si=-yoO1VSHH1KJTnZA, Cambridge English Teacher Rory - Common Mistakes At C1 Advanced (CAE) - YouTube Playlist,Description,⭐⭐⭐⭐,CAE
19,https://quizlet.com/161491025/cae-use-of-english-part-5-key-word-transformation-flash-cards/,Quizlet Flashcards Use of English Part 5 - Games - Tests,🐗 A cool way to practice through Flashcards and Games,⭐⭐⭐⭐,CAE
20,https://quizlet.com/search?query=CAE&type=sets,Quizlet Flashcards CAE Study Sets,🐗 A cool way to practice through Flashcards and Games,⭐⭐⭐⭐,CAE
21,https://www.cambridgeenglish.org/learning-english/activities-for-learners/?level=proficient&rows=12,Cambridge English - Activities for Advanced Learners,Description,⭐⭐⭐⭐,CAE
22,https://kseacademy.com/cambridge/c1-advanced-cae/mejores-libros/#2.1_Libros_de_preparaci%C3%B3n_general_para_el_C1_Advanced,KSE Academy - Los mejores libros para preparar el C1 Advanced (CAE),Description,⭐⭐⭐⭐,CAE
23,http://effectivenglish.com/?p=125,Effective English - CAE vocabulary,⬇️ Downloadable word docs for vocabulary of varied topics,⭐⭐⭐⭐,CAE
24,https://www.examenglish.com/CAE/index.php,Exam English - CAE,🐴 Nice explanations of the different parts of the exam + Interactive exercises,⭐⭐⭐⭐,CAE
25,http://effectivenglish.com/?p=125,Effective English - CAE part 4 key word transformations ,⬇️ Downloadable word docs for part 4 key word transformations,⭐⭐⭐⭐,CAE
26,https://www.rubenvalero.com/learningenglish/c1-advanced-cae/,Ruben Valero - CAE Materials,Some ⬇️ Downloadable materials,⭐⭐⭐⭐,CAE
27,https://freeenglishlessonplans.com/2017/02/28/78-cae-key-word-transformation-expressions/,Free English Lesson Plans - 78 CAE Key Word Transformation Expressions,Description,⭐⭐⭐⭐,CAE
28,https://freeenglishlessonplans.com/tag/cae/,Free English Lesson Plans - CAE Lessons,Description,⭐⭐⭐⭐,CAE
29,https://breakoutenglish.com/cambridge/advanced-cae/,Breakout English - CAE,Description,⭐⭐⭐⭐,CAE
30,https://www.splendid-speaking.com/cae-speaking/,Splendid Speaking - CAE Speaking Guide,Description,⭐⭐⭐⭐,CAE
31,https://youtube.com/playlist?list=PLEHBbj8NPA2xhk_bZJ0sFPZO0suZPZOdf&si=v03m8yWtsCi0ZPxn,MrSkypeLessons - CAE Lessons - YouTube Playlist,🍅 Especially useful for Use of English,⭐⭐⭐⭐,CAE
32,https://ready4cambridge.com/,Ready 4 Cambridge - News and Preparation for Cambridge Exams,Description,⭐⭐⭐⭐,CAE
33,https://studentlanguages.com/common-errors-at-c1-advanced/,Student Languages - Most Common Mistakes at C1 CAE,Description,⭐⭐⭐⭐,CAE
34,https://www.flo-joe.co.uk/cae/students/index.htm,Flo-Joe - CAE Preparation,🦝 Interactive exercises for the different parts of the CAE,⭐⭐⭐⭐,CAE
35,https://learnenglish.britishcouncil.org/skills/writing/c1-writing,British Council - Learn English - CAE C1 Writing,🐋 Interactive exercises and Guidance,⭐⭐⭐⭐,CAE
36,http://brainycae.blogspot.com/,Brainy CAE - Collocations Vocabulary Speaking and More,🦎 Lots of content related to CAE,⭐⭐⭐⭐,CAE
37,https://freeenglishlessonplans.com/2015/02/12/cae-use-of-english-useful-language/,Free English Lessons - CAE Use of English Useful language,Description,⭐⭐⭐⭐,CAE
38,https://freeenglishlessonplans.com/2013/02/08/cae-study-guide/,Free English Lessons - CAE Study Guide,Description,⭐⭐⭐⭐,CAE
39,https://blairexamenglish.com/cae-articles-and-things,Blair Exam English - CAE Articles and Things,Description,⭐⭐⭐,CAE
40,https://www.caeexamtips.com/,CAE Exam Tips,Description,⭐⭐⭐,CAE
41,http://benteachesenglish.com/simple-strategies-for-english-exams/cae-tips/, Ben Teaches English - Best CAE STRATEGIES,🐙 Nice tips for CAE,⭐⭐⭐,CAE
42,https://youtu.be/sSMAN0skLR4?list=PLg8AUSmE1ErKxlrH8DayVXYdF6aqAJMTW,C1 Advanced (CAE) - The Complete Guide to the Speaking Paper,📹 YouTube Video,⭐⭐⭐,CAE
43,https://youtube.com/playlist?list=PLg8AUSmE1ErKlyvaH2-3C1xEsYi38GS0c&si=YD2l2lZ5FnPFnjt5,Closely Observed English - Cambridge Advanced Preparation - YouTube Playlist,Description,⭐⭐⭐,CAE
44,https://youtube.com/playlist?list=PLg8AUSmE1ErIhvXzB5jBfZe9MLqAnxNrp&si=EadYEpgqVWFeiBMP,Closely Observed English - Advanced Vocabulary - YouTube Playlist,Description,⭐⭐⭐,CAE
45,https://www.englishaula.com/en/cambridge-english-test-exam-preparation/cambridge-english-advanced-cae-c1/reading-use-of-english/exam-parts/exercise-practice-test/1-1-7-6197158113968128/,English Aula - CAE,🦊 Interactive exercises (some free - some paid 🤑),⭐⭐⭐,CAE
46,https://studentlanguages.com/cae-courses/,Student Languages - CAE Preparation Online,🍟 Several videos related to CAE,⭐⭐⭐,CAE
47,https://www.lessonplansdigger.com/category/lesson-plans/cae/,Lesson Plans Digger - CAE Lessons,Description,⭐⭐,CAE
48,https://www.freecollocation.com/,OXFORD Free Collocation Dictionary,🦉 A FAVORITE of mine -> Amazing Dictionary for collocations! 📲 MOBILE PHONE -> make sure you type in words in the Dictionary *lowercase* - no *capital* letters,⭐⭐⭐⭐⭐,collocations
49,https://englishstudyhere.com/category/collocations/,English Study Here - Collocations,🍓🛸 Lots of Collocations! Easily ⬇️ Dowloadble Pictures with Lists of Collocations,⭐⭐⭐⭐,collocations
50,https://www.englishclub.com/vocabulary/collocations-common.php,English Club - Collocations,🔥 Tables of Common Collocations,⭐⭐⭐⭐,collocations
51,https://www.englishclub.com/ref/Collocations/,English Club - Index of Collocations,🔥 Lots of Collocations in alphabetical order,⭐⭐⭐⭐,collocations
52,https://www.businessenglishresources.com/collocations-game/,Business English Resources,🦏 Collocations Game,⭐⭐⭐,collocations
53,https://www.wordreference.com,WordReference Dictionary,🐎 Probably my most Go-To Dictionary - Excellent Resource! 👀 Make sure you also explore Collocations and Synonyms when using it!,⭐⭐⭐⭐⭐,dictionary
54,https://www.freecollocation.com/,Online Collocation Dictionary,📘 Amazing Collocations Dictionary!,⭐⭐⭐⭐,dictionary
55,https://dictionary.cambridge.org/es/diccionario/ingles-estudiantes/,🐵 Cambridge Learners Dictionary,Great dictionary from Cambridge,⭐⭐⭐⭐,dictionary
56,https://sentencedict.com/,Sentence Dictionary,📖 Amazing and super Useful Sentence Dictionary,⭐⭐⭐⭐,dictionary
57,https://relatedwords.org/,Related Words Dictionary,🦚 This tool helps you find words that are related to a specific word or phrase,⭐⭐⭐⭐,dictionary
58,https://describingwords.io/,Describing Words Dictionary,🦏 Amazing dictionary that helps you find words to describe other words in English!,⭐⭐⭐⭐,dictionary
59,https://relatedwords.io/,Related Words.io,🛵 This tool gives you words related to anyword you look up,⭐⭐⭐⭐,dictionary
60,https://reversedictionary.org/,Reverse Dictionary,🍯 This reverse dictionary allows you to search for words by their definition,⭐⭐⭐⭐,dictionary
61,https://www.wordhippo.com/,Word Hippo - Dictionary,🦢 Great Dictionary (especially for young learners),⭐⭐⭐⭐,dictionary
62,https://inspirassion.com/en/,Inspirassion - Online English Collocation Dictionary,Description,⭐⭐⭐⭐,dictionary
63,https://www.dictionary.com/,Dictionary.com,🍇 Dictionary and 80+ Games (Word Puzzle - hurdle - Crosswords),⭐⭐⭐⭐,dictionary
64,https://www.thefreedictionary.com/,The Free Dictionary,Description,⭐⭐⭐⭐,dictionary
65,https://gerozayas.notion.site/B2-First-FCE-Preparation-Resources-74254eeb36b0497681cdce956b313052?pvs=4,B2 First FCE Preparation Resources,🐯 Another Collection of mine,⭐⭐⭐⭐⭐,FCE
66,https://www.cambridgeenglish.org/exams-and-tests/first/,Cambridge English - B2 First Preparation,🌔 Official Cambridge Website for FCE Preparation Materials and Guidance,⭐⭐⭐⭐⭐,FCE
67,https://www.englishrevealed.co.uk/fce_vocabulary.php,English Revealed - FCE Vocabulary,🥕 Excellent resource!,⭐⭐⭐⭐⭐,FCE
68,https://www.languages247.com/first-b2-course-index/,Languages 247 - Full FCE Course,🦒 Amazing Resource - FULL Course,⭐⭐⭐⭐⭐,FCE
69,https://app.useofenglishpro.com/,Use of English Pro - App (for 📱 Mobile and 🖥️ Desktop),💰PAID Resource - Great Use of English - Vocabulary - Grammar App for FCE and CAE Preparation,⭐⭐⭐⭐⭐,FCE
70,https://tefltastic.wordpress.com/worksheets/exams/cambridge-exams/fce/,TEFLtastic - FCE Worksheets,🤓 Lots of Downloadable PDFs,⭐⭐⭐⭐,FCE
71,https://www.fceexamtips.com/,FCE Exam Tips,Description,⭐⭐⭐⭐,FCE
72,http://frenglish.ru/fce_books.html,Frenglish - Download FCE Books,⬇️ Download Full Books in PDF,⭐⭐⭐⭐,FCE
73,https://youtube.com/playlist?list=PLEHBbj8NPA2yW8wXo-W5DgAZYT3zBMcmG&si=K31UhqVeO36qZ599,FCE YouTube Playlist,Description,⭐⭐⭐⭐,FCE
74,http://effectivenglish.com/?p=105,Effective English - FCE Docs,⬇️ Download lost of Docs related to practice for FCE,⭐⭐⭐⭐,FCE
75,https://youtube.com/playlist?list=PL6e-7-KQEXLWi6wMsxzKegBBsBXU7uKOc&si=egGoHKNRaQO8Wwjn,FCE YouTube Playlist,Description,⭐⭐⭐⭐,FCE
76,https://b2firstexampreparation.com/,B2 First Exam Preparation,Description,⭐⭐⭐⭐,FCE
77,https://www.baamboozle.com/tag/fce,Baamboozle Games - FCE,🚜 Great way to practice for FCE in Groups,⭐⭐⭐⭐,FCE
78,https://www.esleschool.com/b2-first-fce-exam-practice/,🚂 ESL School - B2 First,Great Interactive Exercises for B2 First,⭐⭐⭐⭐,FCE
79,https://ready4cambridge.com/,Ready 4 Cambridge - News and Preparation for Cambridge Exams,Description,⭐⭐⭐⭐,FCE
80,https://www.lessonplansdigger.com/category/lesson-plans/fce/,Lesson Plans Digger - Fce Lessons,Description,⭐⭐⭐,FCE
81,https://teflgeek.net/exam-classes/fce-online-resource-directory/,TEFL Geek - FCE Online Resources Directory,Description,⭐⭐⭐,FCE
82,https://blairexamenglish.com/fce-articles-and-things,Blair Exam English - FCE Articles and more,Description,⭐⭐⭐,FCE
83,https://www.fceexamtips.com/articles/first-certificate-speaking-questions-part-1,FCE Exam Tips - 91 FCE Speaking Test Part 1 Questions,Description,⭐⭐⭐,FCE
