id,url,name,description,ranking,category
53,https://www.wordreference.com,WordReference Dictionary,🐎 Probably my most Go-To Dictionary - Excellent Resource! 👀 Make sure you also explore Collocations and Synonyms when using it!,⭐⭐⭐⭐⭐,dictionary
54,https://www.freecollocation.com/,Online Collocation Dictionary,📘 Amazing Collocations Dictionary!,⭐⭐⭐⭐,dictionary
55,https://dictionary.cambridge.org/es/diccionario/ingles-estudiantes/,🐵 Cambridge Learners Dictionary,Great dictionary from Cambridge,⭐⭐⭐⭐,dictionary
56,https://sentencedict.com/,Sentence Dictionary,📖 Amazing and super Useful Sentence Dictionary,⭐⭐⭐⭐,dictionary
57,https://relatedwords.org/,Related Words Dictionary,🦚 This tool helps you find words that are related to a specific word or phrase,⭐⭐⭐⭐,dictionary
58,https://describingwords.io/,Describing Words Dictionary,🦏 Amazing dictionary that helps you find words to describe other words in English!,⭐⭐⭐⭐,dictionary
59,https://relatedwords.io/,Related Words.io,🛵 This tool gives you words related to anyword you look up,⭐⭐⭐⭐,dictionary
60,https://reversedictionary.org/,Reverse Dictionary,🍯 This reverse dictionary allows you to search for words by their definition,⭐⭐⭐⭐,dictionary
61,https://www.wordhippo.com/,Word Hippo - Dictionary,🦢 Great Dictionary (especially for young learners),⭐⭐⭐⭐,dictionary
62,https://inspirassion.com/en/,Inspirassion - Online English Collocation Dictionary,,⭐⭐⭐⭐,dictionary
63,https://www.dictionary.com/,Dictionary.com,🍇 Dictionary and 80+ Games (Word Puzzle - hurdle - Crosswords),⭐⭐⭐⭐,dictionary
64,https://www.thefreedictionary.com/,The Free Dictionary,,⭐⭐⭐⭐,dictionary
