id,url,name,description,ranking,category
65,https://gerozayas.notion.site/B2-First-FCE-Preparation-Resources-74254eeb36b0497681cdce956b313052?pvs=4,B2 First FCE Preparation Resources,🐯 Another Collection of mine,⭐⭐⭐⭐⭐,FCE
66,https://www.cambridgeenglish.org/exams-and-tests/first/,Cambridge English - B2 First Preparation,🌔 Official Cambridge Website for FCE Preparation Materials and Guidance,⭐⭐⭐⭐⭐,FCE
67,https://www.englishrevealed.co.uk/fce_vocabulary.php,English Revealed - FCE Vocabulary,🥕 Excellent resource!,⭐⭐⭐⭐⭐,FCE
68,https://www.languages247.com/first-b2-course-index/,Languages 247 - Full FCE Course,🦒 Amazing Resource - FULL Course,⭐⭐⭐⭐⭐,FCE
69,https://app.useofenglishpro.com/,Use of English Pro - App (for 📱 Mobile and 🖥️ Desktop),💰PAID Resource - Great Use of English - Vocabulary - Grammar App for FCE and CAE Preparation,⭐⭐⭐⭐⭐,FCE
70,https://tefltastic.wordpress.com/worksheets/exams/cambridge-exams/fce/,TEFLtastic - FCE Worksheets,🤓 Lots of Downloadable PDFs,⭐⭐⭐⭐,FCE
71,https://www.fceexamtips.com/,FCE Exam Tips,,⭐⭐⭐⭐,FCE
72,http://frenglish.ru/fce_books.html,Frenglish - Download FCE Books,⬇️ Download Full Books in PDF,⭐⭐⭐⭐,FCE
73,https://youtube.com/playlist?list=PLEHBbj8NPA2yW8wXo-W5DgAZYT3zBMcmG&si=K31UhqVeO36qZ599,FCE YouTube Playlist,,⭐⭐⭐⭐,FCE
74,http://effectivenglish.com/?p=105,Effective English - FCE Docs,⬇️ Download lost of Docs related to practice for FCE,⭐⭐⭐⭐,FCE
75,https://youtube.com/playlist?list=PL6e-7-KQEXLWi6wMsxzKegBBsBXU7uKOc&si=egGoHKNRaQO8Wwjn,FCE YouTube Playlist,,⭐⭐⭐⭐,FCE
76,https://b2firstexampreparation.com/,B2 First Exam Preparation,,⭐⭐⭐⭐,FCE
77,https://www.baamboozle.com/tag/fce,Baamboozle Games - FCE,🚜 Great way to practice for FCE in Groups,⭐⭐⭐⭐,FCE
78,https://www.esleschool.com/b2-first-fce-exam-practice/,🚂 ESL School - B2 First,Great Interactive Exercises for B2 First,⭐⭐⭐⭐,FCE
79,https://ready4cambridge.com/,Ready 4 Cambridge - News and Preparation for Cambridge Exams,,⭐⭐⭐⭐,FCE
80,https://www.lessonplansdigger.com/category/lesson-plans/fce/,Lesson Plans Digger - Fce Lessons,,⭐⭐⭐,FCE
81,https://teflgeek.net/exam-classes/fce-online-resource-directory/,TEFL Geek - FCE Online Resources Directory,,⭐⭐⭐,FCE
82,https://blairexamenglish.com/fce-articles-and-things,Blair Exam English - FCE Articles and more,,⭐⭐⭐,FCE
83,https://www.fceexamtips.com/articles/first-certificate-speaking-questions-part-1,FCE Exam Tips - 91 FCE Speaking Test Part 1 Questions,,⭐⭐⭐,FCE
84,https://youtube.com/playlist?list=PLg8AUSmE1ErIyk3Z6db80HIrUpgfjS5kX&si=sEVJnviJE2fK4M_p,Closely Observed English - Cambridge B2 First Preparation - YouTube Playlist,,⭐⭐⭐,FCE
85,https://youtube.com/playlist?list=PLg8AUSmE1ErKBnb69Ke6dbz17AYB8-BYv&si=zpagnZkEzmiPPvVY,Closely Observed English - Cambridge B2 First Preparation II - YouTube Playlist,,⭐⭐⭐,FCE
