id,url,name,description,ranking,category
166,https://globalaccess.bowvalleycollege.ca/learners/readers.php,ESL Literacy Readers - Bow Valley College,Amazing resource to practice reading and listening interactively,⭐⭐⭐⭐⭐,general
167,https://www.at.alleng.org/english/txb1.htm,Educational resources of the Internet – English - Direct Download Books,📚 Enormous Collection 🤯 of Books and their 🔊audio files for Direct Download ⬇️,⭐⭐⭐⭐,general
168,https://www.cambridgeenglish.org/teaching-english/resources-for-teachers/,Cambridge English – Resources for English teachers,😁 Free resources for preparing learners for Cambridge English Qualifications . ⬇️ Downloadable PDFs,⭐⭐⭐⭐,general
169,https://vk.com/wall154021573?own=1,Direct Download of ESL Books – FCE - CAE – General English I,⬇️ Download Course Books – Student Books and more in PDF,⭐⭐⭐⭐,general
170,https://vk.com/wall261868754,Direct Download of ESL Books – FCE - CAE – General English II,⬇️ Download Course Books – Student Books and more in PDF,⭐⭐⭐⭐,general
171,https://www.voicetube.com/,VoiceTube – Learn English with Youtube,📼📺 Really great way to learn through videos! You can select content according to different levels A1-C2,⭐⭐⭐⭐,general
172,https://vk.com/english_file,Direct Download of English File Books,⬇️ Download 👑 English File Course Books – Student Books and more in PDF,⭐⭐⭐⭐,general
173,https://www.efset.org/,EF Set - Free Standardized English Test Online,🐯 You can take a 15min Quick Check Test or a 50min EF Set Test to certify your English Proficiency - You can add the Certificate to your LinkedIn Profile,⭐⭐⭐⭐,general
174,https://www.theteacherscorner.net,The Teachers Corner,🍓 Lesson Plans - Worksheets - Puzzles - Activities - You can make your own ESL Games Printables (Pretty Cool),⭐⭐⭐⭐,general
175,https://www.englishclub.com/,English Club ,🤟 Huge amount of resources both for Learners and Teachers,⭐⭐⭐⭐,general
176,https://www.eslcafe.com/resources/quizzes/,ESL Cafe - Quizzes,,⭐⭐⭐⭐,general
177,https://edvista.com/claire/internet-esl.html,The Internet for ESL Teachers,,⭐⭐⭐⭐,general
178,https://teachfromanywhere.google/intl/es/#for-teachers,Teach from Anaywhere - Google Tools for teaching,,⭐⭐⭐⭐,general
179,https://www.usingenglish.com/,Using English - Online ESL tools & resources for students & teachers,🤖 Interactive Grammar Quizzes and more,⭐⭐⭐⭐,general
180,https://jeopardylabs.com/,Jeopardy Labs,🐎 Create or find Jeopardy Games to use in your English Class!,⭐⭐⭐⭐,general
181,http://eslteachingideas.blogspot.com/,ESL Teaching Ideas,,⭐⭐⭐⭐,general
182,https://www.oedb.org/ilibrarian/50_essential_resources_for_esl_students/,OEDB - 50 Essential Resources for ESL Students,🐵 Collection of Resources for ESL Learners,⭐⭐⭐⭐,general
183,https://www.educaplay.com/,EducaPlay,🛸 Amazing resource for super interactive quizzes and games to learn (not only English but a lot of other subjects and topics),⭐⭐⭐⭐,general
184,https://www.teach-this.com/,Teach This,👌 Amazing for Worksheets! Most are Paid 💶 but you can find lots of free ones! ⬇️ Downloadable PDFs,⭐⭐⭐⭐,general
185,https://www.thoughtco.com/basic-english-curriculum-teaching-esl-grammar-1212146,ThoughtCo - Basic English Curriculum for Teaching ESL,,⭐⭐⭐⭐,general
186,https://www.learnamericanenglishonline.com/,Learn American English Online with Teacher Paul,🚇 Lots of Lessons by Levels!! Very cool,⭐⭐⭐⭐,general
187,https://www.ingles.com/,Ingles.com,Web App for English Learning,⭐⭐⭐⭐,general
188,https://www.englishspeak.com/,English Speak - 100 English Lessons,,⭐⭐⭐⭐,general
189,https://www.eslnotes.com/,ESL Notes - The English Learner Movie Guides,🍩 Guides based on English-language movies designed to help non-native speakers understand and learn critical vocabulary and expressions used in these films,⭐⭐⭐⭐,general
190,https://englishstudyonline.org/,Study English Online ,🪟 Really good for Grammar Vocabulary cards and more – ⬇️ Downloadable Images ,⭐⭐⭐,general
