id,url,name,description,ranking,category
136,https://esldiscussions.com/,ESL Discussions,🤩👍🗣️ One of my All-Time Favorites! More than 14000 Conversation Questions! ⬇️ Downloadable PDFs ready for cutting into cards and use in the classroom! ,⭐⭐⭐⭐⭐,speaking
137,https://printdiscuss.com/,Print Discuss,🕺🙋‍♂️😀😍 Another All-Time Favorite! Great content ⬇️ Downloadable PDFs – Printables to use in the classroom! ,⭐⭐⭐⭐⭐,speaking
138,http://www.esldiscussiontopics.com/,ESL Discussion Topics,🤯😁🥳👉 Another All-Time Favorite! ⬇️ Very easily Downloadable PDFs – Printables with different options relative to the speaking cards! ,⭐⭐⭐⭐⭐,speaking
139,https://eslconversationtopics.com/,ESL Conversation Topics,🕴💪 Nicely divided into levels – Beginner to Advanced – It also gives vocabulary related to the chosen topic,⭐⭐⭐⭐,speaking
140,https://www.eslconversationquestions.com/,ESL Conversation Questions,💽 Good site with lots of topics,⭐⭐⭐⭐,speaking
141,https://youtube.com/playlist?list=PLMR3lYBIrUzj8yUM3vibIPSMfw2s_I2mp&si=k_jCk49QYSlzrwmo,7esl - English Conversation YouTube Playlist,,⭐⭐⭐⭐,speaking
142,http://iteslj.org/questions/,Conversation Questions for the ESL/EFL Classroom,Lots and Lots 🤪 of Questions!,⭐⭐⭐⭐,speaking
143,https://www.conversationstarters.com/100.htm,Conversation Starters - 100 Conversation Questions,⚙️💡🔦 Simple and cool site with lots of question and a cool Random Question Generator too!,⭐⭐⭐⭐,speaking
144,https://conversationstartersworld.com/,Conversation Starters World,😁👅👁️ Very extensive lists of questions! + Conversation games + Trivia & Thought-Provoking ,⭐⭐⭐⭐,speaking
145,https://youtube.com/playlist?list=PLMR3lYBIrUzjPoobEP0vXB-a_cJw8nn7l&si=Dm8Y50qnSkWqTWgx,7esl - English Speaking YouTube Playlist,,⭐⭐⭐⭐,speaking
146,https://www.fluentu.com/blog/educator-english/esl-speaking-activities-for-adults/,FluentU – Speaking,23 ESL Speaking Activities for Adults: Free Their Inner Kids,⭐⭐⭐,speaking
147,https://teflpedia.com/Category:Teflpedia_conversation_questions,TEFLPEDIA conversation questions,🙌 Lots of Conversation questions by topic,⭐⭐⭐,speaking
148,https://englishstudyhere.com/category/speaking-general/,English Study Here - Speaking – General, 😄 Excellent one-image summaries of Vocab Topics,⭐⭐⭐,speaking
149,https://englishstudyhere.com/category/ways-to-say/,English Study Here - Ways to Say,,⭐⭐⭐,speaking
150,https://ministry-to-children.com/100-conversation-starters/,100 Questions for Kids,👧👦 Easy Conversation Starters in English,⭐⭐⭐,speaking
151,https://allesl.com/worksheets/speaking/,All ESL – Speaking,,⭐⭐⭐,speaking
152,https://englishpost.org/conversation-questions/,English Post -Conversation Questions,,⭐⭐⭐,speaking
153,https://www.mantelligence.com/random-questions-to-ask/#best,70 Random Questions to Ask (For: Girls – Guys - or Couples),,⭐⭐⭐,speaking
154,https://eslgames.com/esl-conversation-questions,ESL Games -Conversation Questions,,⭐⭐⭐,speaking
155,https://www.teachenglishabroad.co/ultimate-guide-to-engaged-ells/100-esl-debate-topics-that-will-get-your-students-fired-up,Teaching English Abroad - 100 ESL Debate Topics,🧂 A vault of modern-day topics guaranteed to spice up your lesson ,⭐⭐⭐,speaking
156,https://www.esltalkingpoints.com/,ESL Talking Points,👉👉 Good printables and lots of topics,⭐⭐⭐,speaking
157,https://www.excellentesl4u.com/esl-conversation-cards.html,Excellent ESL 4 U,⬇️ Very easily Downloadable PDFs,⭐⭐⭐,speaking
158,https://keithspeakingacademy.com/ielts-speaking-free-live-lessons/,Keith Speaking Academy - IELTS Speaking FREE Live Lessons!,🚀🎤 Lots of Free Video Lessons mainly focused on IELTS,⭐⭐⭐,speaking
159,https://keithspeakingacademy.com/blog/,Keith Speaking Academy – IELTS Speaking Tips,,⭐⭐⭐,speaking
160,https://www.talkenglish.com/,Talk English - Improve your spoken English Free!,🦜 You have interactive exercises and audios to perfect your pronunciation too,⭐⭐⭐,speaking
161,https://eslflow.com/debateanddiscussionlessons.html,ESL Flow - Debate and Discussion Speaking Exercise,,⭐⭐⭐,speaking
162,https://eslgold.com/practice-speaking/conversation-topics/,ESL Gold Speaking Practice, A variety of topics to select 😉,⭐⭐,speaking
163,https://www.edutopia.org/discussion/12-fun-speaking-games-language-learners,Edutopia -> 12 Fun Speaking Games for Language Learners,🤭 Speaking Games 😁,⭐⭐,speaking
164,https://wehavekids.com/parenting/Conversation-Starters-for-Teens,We Have Kids - 120+ Conversation Starters for Teens,,⭐⭐,speaking
165,https://sites.google.com/view/speakingpractice/home?authuser=0,Speaking Practice,Monologues and more,⭐⭐,speaking
