id,url,name,description,ranking,category
1,https://en.islcollective.com/,iSLCOLLECTIVE,🏅 One of the absolute BEST resources online for Worksheets – PowerPoints and – Video Lessons! 🏆 An all-time great!,⭐⭐⭐⭐⭐,top
2,https://breakingnewsenglish.com,Breaking News English,📰 Amazing site 🤯 with lots and lots of content for Reading – Listening – Lesson Plans and More!,⭐⭐⭐⭐⭐,top
3,https://www.esl-lounge.com/student/,ESL-Lounge,🌶️ Free online platform for learning English including grammar - vocabulary - reading and listening skills.,⭐⭐⭐⭐⭐,top
4,https://www.baamboozle.com/,Baamboozle! - Amazing Teaching Games,🛵 One of the best resources out there to Gamify your lessons and engage your students!,⭐⭐⭐⭐⭐,top
5,https://test-english.com/,Test-English.com,🍰 Amazing! Find tests about everything ESL and practice interactively!,⭐⭐⭐⭐⭐,top
6,https://eflnet.com/,EFLNet,🤩 Excellent for Vocabulary Grammar and More!,⭐⭐⭐⭐⭐,top
7,https://wordwall.net/,Wordwall,🤩 One of my all-time Favorites! Amazing Resource to interactively Learn + Practice and Play!,⭐⭐⭐⭐⭐,top
8,https://www.englishtestsonline.com/,English Tests Online,🚀 Excellent Resource - Lots of Interactive Tests about many different topics for vocabulary and grammar,⭐⭐⭐⭐,top
9,https://7esl.com/,7ESL - Your All-in-One English Language Resource,Great Material,⭐⭐⭐⭐,top
10,https://freeeslmaterials.com/sean_banville_lessons.html,FREE ESL Materials,🤯 LOTS OF CONTENT! Sean Banville's 9 Materials Sites & 5442 Lessons,⭐⭐⭐⭐,top
11,https://www.ego4u.com/en/,English Grammar Online,😎 Excellent site with many interactive exercises and more!,⭐⭐⭐⭐,top
12,https://www.engvid.com/,EngVid – English Video Lessons,📼🎬 Incredibly extensive ESL Video Lessons Collection! With quizzes and activities,⭐⭐⭐⭐,top
13,https://kahoot.com/,Kahoot!,🕹️ Amazing games to practice and learn English and Engage the whole Class,⭐⭐⭐⭐,top
