id,url,name,description,ranking,category
316,https://www.gamestolearnenglish.com/,Games to Learn English,🏎️ 🚟 🛴 Excellent Resource with lots of Games and Interactive Activities!,⭐⭐⭐⭐⭐,young learners and kids
317,https://games4esl.com/esl-topics-for-kids/,Games 4 Esl - Topics for Kids,🍠 PPTs and More,⭐⭐⭐⭐⭐,young learners and kids
318,https://learnenglishkids.britishcouncil.org/parents/resources,British Council - Learn English Kids,🐮 Resources by level and type (video - song - short story - poem - joke and more),⭐⭐⭐⭐,young learners and kids
319,https://www.mes-english.com/,MES-English - Free Printables and FlashCards,🐅 Resources for Teachers of Young Learners - Interactive!,⭐⭐⭐⭐,young learners and kids
320,https://vk.com/topic-77391349_31584818,Direct Download of Children ESL Books – Movers - Flyers - Starters and more,⬇️ Download Course Books – Student Books and more in PDF,⭐⭐⭐⭐,young learners and kids
321,https://eslkidsworld.com/worksheets.html,ESL Kids World - Worksheets,🚆 Plenty of Worksheets to choose from!,⭐⭐⭐⭐,young learners and kids
322,https://esl-kids.com/,ESL-Kids,🚀 Flashcards + Worksheets + Games + Songs,⭐⭐⭐,young learners and kids
323,https://english-4kids.com/,English 4 Kids,🧒👧👶 Lots of Lessons – Worksheets – Tutorials – Games – Powerpoints – Flashcards,⭐⭐⭐,young learners and kids
324,https://www.eslkidsgames.com/online-esl-games,ESL Kids Games,,⭐⭐⭐,young learners and kids
325,https://www.cristic.com/5o-y-6o-de-primaria/ingles/,Cristic - ESL Games for Primary School Kids,,⭐⭐⭐,young learners and kids
326,https://www.eslkidstuff.com/,ESL Kids Stuff,🧁 ESL Kids Lesson plans + flashcards + worksheets + songs + readers & crafts - Paid 💶 Resources,⭐⭐,young learners and kids
327,https://www.englishbix.com/,English Bix - Quality English Resources for Your Kids,Paid 💶 Resources,⭐⭐,young learners and kids
